Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
44, 128 | dz = 0.002 | diff = -21.43 | SS | 17.118
44, 132 | dz = 0.088 | diff = -12.93 | SS | 0.474
44, 156 | dz = 0.751 | sum = 21.55 | DS | 19.036
45, 70 | dz = 0.745 | sum = 18.28 | DS | 16.147
45, 129 | dz = 0.752 | sum = 18.02 | DS | 4.995
45, 147 | dz = 0.009 | diff = -0.03 | SS | 10.638
46, 49 | dz = 0.465 | sum = 16.27 | DS | 8.971
46, 69 | dz = 1.118 | sum = 23.36 | DS | 14.703
46, 146 | dz = 0.174 | diff = -9.79 | SS | 9.103
47, 62 | dz = 0.665 | sum = 19.75 | DS | 11.375
47, 83 | dz = 0.745 | sum = 20.30 | DS | 14.149
47, 122 | dz = 0.080 | diff = -14.00 | SS | 12.884
47, 153 | dz = 0.825 | sum = 21.35 | DS | 14.982
48, 66 | dz = 0.834 | sum = 21.57 | DS | 5.405
48, 74 | dz = 0.567 | sum = 18.09 | DS | 2.117
48, 93 | dz = 0.000 | diff = -11.80 | SS | 3.186
48, 149 | dz = 0.741 | sum = 21.06 | DS | 6.072
49, 69 | dz = 0.837 | diff = 24.38 | SS | 9.975
49, 104 | dz = 0.015 | diff = 16.12 | SS | 13.210
49, 146 | dz = 0.639 | sum = 129.91 | DS | 10.986
50, 62 | dz = 0.653 | sum = 21.15 | DS | 16.857
50, 154 | dz = 0.008 | diff = -11.77 | SS | 8.142
51, 53 | dz = 0.665 | sum = 128.11 | DS | 16.999
51, 57 | dz = 0.190 | diff = 14.86 | SS | 15.338
51, 85 | dz = 0.278 | diff = -13.38 | SS | 12.001
52, 79 | dz = 0.093 | diff = -9.09 | SS | 0.887
52, 103 | dz = 0.875 | sum = 23.13 | DS | 6.015
53, 57 | dz = 1.016 | sum = 21.02 | DS | 7.972
53, 59 | dz = 0.186 | diff = 15.13 | SS | 8.802
54, 72 | dz = 1.019 | sum = 19.45 | DS | 16.978
54, 74 | dz = 0.000 | diff = -2.21 | SS | 0.164
54, 89 | dz = 0.000 | diff = -8.62 | SS | 1.902
54, 91 | dz = 0.100 | diff = -13.42 | SS | 15.819
54, 102 | dz = 0.471 | sum = 115.53 | DS | 19.482
54, 117 | dz = 0.000 | diff = 3.14 | SS | 0.438
55, 68 | dz = 0.015 | diff = -10.90 | SS | 16.561
55, 131 | dz = 0.029 | diff = -8.93 | SS | 19.835
55, 155 | dz = 0.823 | sum = 124.78 | DS | 17.051
56, 80 | dz = 0.751 | sum = 22.06 | DS | 5.312
56, 87 | dz = 0.002 | diff = -13.03 | SS | 1.914
56, 143 | dz = 0.091 | diff = -16.59 | SS | 3.888
57, 113 | dz = 0.928 | sum = 20.02 | DS | 7.949
58, 94 | dz = 0.839 | sum = 20.98 | DS | 1.001
58, 107 | dz = 0.377 | sum = 14.00 | DS | 4.017
58, 142 | dz = 0.302 | sum = 119.86 | DS | 3.232
59, 120 | dz = 0.000 | sum = 6.96 | DS | 12.280
60, 79 | dz = 0.878 | sum = 22.21 | DS | 17.524
60, 90 | dz = 0.093 | diff = 10.89 | SS | 5.050
60, 103 | dz = 0.090 | diff = -2.56 | SS | 4.066
60, 115 | dz = 0.468 | sum = 20.12 | DS | 9.286
60, 124 | dz = 0.233 | diff = 1.46 | SS | 3.504
60, 159 | dz = 0.279 | sum = 129.02 | DS | 4.047
61, 92 | dz = 0.455 | sum = 0.43 | DS | 9.534
61, 106 | dz = 0.747 | sum = 22.95 | DS | 7.173
61, 127 | dz = 0.563 | sum = 128.16 | DS | 2.162
62, 122 | dz = 0.745 | sum = 20.81 | DS | 7.849
62, 153 | dz = 0.000 | diff = 13.89 | SS | 9.871
63, 86 | dz = 0.733 | sum = 20.44 | DS | 13.002
63, 114 | dz = 0.099 | diff = 14.66 | SS | 11.712
63, 121 | dz = 0.651 | sum = 17.86 | DS | 11.714
63, 131 | dz = 0.747 | sum = 22.05 | DS | 9.318
63, 158 | dz = 0.842 | sum = 127.59 | DS | 8.628
64, 75 | dz = 0.085 | diff = -14.05 | SS | 5.252
64, 110 | dz = 1.037 | sum = 20.26 | DS | 4.982
64, 141 | dz = 0.189 | sum = 23.22 | DS | 1.894
64, 148 | dz = 0.470 | sum = 18.80 | DS | 7.395
65, 111 | dz = 0.669 | sum = 20.07 | DS | 3.999
65, 130 | dz = 0.093 | diff = -15.49 | SS | 7.753
65, 133 | dz = 0.002 | diff = 0.02 | SS | 3.592
65, 147 | dz = 0.838 | sum = 126.86 | DS | 5.125
66, 119 | dz = 0.552 | sum = 21.08 | DS | 9.699
67, 83 | dz = 0.004 | diff = -14.69 | SS | 7.245
67, 97 | dz = 0.835 | sum = 129.90 | DS | 5.901
67, 126 | dz = 0.561 | sum = 21.68 | DS | 6.748
68, 135 | dz = 0.841 | sum = 21.00 | DS | 9.007
69, 99 | dz = 0.096 | diff = -13.09 | SS | 13.080
70, 98 | dz = 0.639 | sum = 21.28 | DS | 16.735
70, 130 | dz = 0.009 | diff = -12.37 | SS | 6.083
70, 147 | dz = 0.736 | sum = 20.29 | DS | 7.142
71, 81 | dz = 0.178 | diff = -11.61 | SS | 7.355
71, 108 | dz = 0.744 | sum = 19.03 | DS | 9.067
71, 144 | dz = 0.566 | sum = 17.57 | DS | 9.008
72, 91 | dz = 0.371 | sum = 15.58 | DS | 15.624
