Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
53, 120 | dz = 0.000 | diff = -0.01 | SS | 0.830
53, 139 | dz = 0.000 | diff = 0.04 | SS | 1.030
54, 59 | dz = 0.000 | diff = -0.04 | SS | 1.029
54, 81 | dz = 0.000 | diff = 0.23 | SS | 0.773
54, 109 | dz = 0.000 | diff = -0.03 | SS | 1.032
54, 114 | dz = 0.000 | diff = 0.11 | SS | 0.890
55, 101 | dz = 0.000 | diff = -0.08 | SS | 1.655
56, 57 | dz = 0.001 | diff = 0.42 | SS | 0.994
56, 60 | dz = 0.000 | diff = 0.38 | SS | 1.414
56, 89 | dz = 0.365 | diff = -77.53 | SD | 0.904
56, 93 | dz = 0.002 | diff = -0.07 | SS | 1.475
56, 137 | dz = 0.001 | diff = -0.03 | SS | 1.438
56, 158 | dz = 0.365 | diff = -77.53 | SD | 1.472
57, 60 | dz = 0.001 | diff = 0.04 | SS | 1.072
57, 84 | dz = 0.000 | diff = -0.15 | SS | 1.024
57, 137 | dz = 0.000 | diff = -0.45 | SS | 0.886
57, 157 | dz = 0.000 | diff = 0.04 | SS | 0.498
58, 71 | dz = 0.000 | diff = 0.25 | SS | 0.865
58, 102 | dz = 0.000 | diff = 0.34 | SS | 1.304
58, 128 | dz = 0.000 | diff = -0.35 | SS | 1.648
59, 109 | dz = 0.000 | diff = 0.01 | SS | 0.994
60, 93 | dz = 0.002 | diff = 0.32 | SS | 0.684
60, 142 | dz = 0.000 | diff = -0.04 | SS | 1.163
61, 68 | dz = 0.002 | diff = -0.65 | SS | 0.988
62, 100 | dz = 0.000 | diff = 0.21 | SS | 1.043
62, 145 | dz = 0.001 | diff = 0.17 | SS | 1.409
62, 146 | dz = 0.000 | diff = -0.04 | SS | 0.664
62, 154 | dz = 0.001 | diff = 0.17 | SS | 1.172
63, 71 | dz = 0.000 | diff = 0.03 | SS | 0.910
63, 107 | dz = 0.000 | diff = -0.06 | SS | 1.235
63, 108 | dz = 0.000 | diff = -0.03 | SS | 0.915
64, 113 | dz = 0.369 | diff = -78.02 | SD | 1.040
65, 100 | dz = 0.000 | diff = 0.11 | SS | 1.114
65, 143 | dz = 0.000 | diff = 0.02 | SS | 0.979
65, 149 | dz = 0.000 | diff = 0.25 | SS | 0.746
66, 83 | dz = 0.000 | diff = 0.00 | SS | 1.004
66, 143 | dz = 0.000 | diff = -0.10 | SS | 1.004
67, 85 | dz = 0.000 | diff = 0.05 | SS | 1.334
67, 96 | dz = 0.000 | diff = 0.10 | SS | 1.434
67, 117 | dz = 0.000 | diff = -0.06 | SS | 0.896
