Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
41, 62 | dz = 0.080 | sum = -208.97 | DD | 8.038
41, 91 | dz = 1.383 | sum = -197.44 | DD | 9.713
41, 100 | dz = 1.304 | sum = -56.99 | DD | 12.008
42, 63 | dz = 0.373 | sum = 11.53 | DS | 2.222
42, 71 | dz = 0.075 | diff = 4.12 | SS | 1.084
42, 87 | dz = 0.001 | diff = -6.71 | SS | 17.268
42, 143 | dz = 0.847 | sum = 50.95 | DD | 2.937
42, 154 | dz = 1.128 | sum = -197.39 | DD | 17.333
43, 79 | dz = 0.001 | sum = 45.04 | DD | 6.055
43, 97 | dz = 0.061 | diff = 13.38 | SS | 6.878
43, 145 | dz = 1.303 | sum = -54.19 | DD | 5.806
44, 58 | dz = 0.742 | sum = 20.34 | DS | 6.354
44, 83 | dz = 0.745 | sum = 21.77 | DS | 6.476
44, 90 | dz = 1.117 | sum = 48.38 | DD | 3.184
45, 69 | dz = 0.684 | sum = 24.24 | DS | 18.018
45, 82 | dz = 1.302 | sum = -55.35 | DD | 17.736
45, 96 | dz = 1.299 | sum = 54.95 | DD | 2.009
46, 54 | dz = 1.148 | sum = -54.99 | DD | 16.989
46, 64 | dz = 1.208 | sum = -199.83 | DD | 12.137
46, 138 | dz = 0.000 | diff = -98.22 | SD | 13.067
46, 157 | dz = 0.277 | sum = 17.30 | DS | 15.860
47, 65 | dz = 1.305 | sum = -193.21 | DD | 1.006
47, 72 | dz = 1.330 | sum = -55.98 | DD | 8.547
47, 108 | dz = 0.099 | diff = 4.48 | SS | 5.458
47, 135 | dz = 0.404 | diff = -80.44 | SD | 1.770
48, 70 | dz = 1.304 | sum = -55.13 | DD | 14.022
48, 75 | dz = 0.094 | diff = -7.12 | SS | 12.619
48, 84 | dz = 0.092 | diff = -17.60 | SS | 12.340
48, 93 | dz = 1.397 | sum = -200.11 | DD | 9.889
48, 114 | dz = 1.117 | sum = 48.26 | DD | 14.267
48, 155 | dz = 0.000 | diff = 15.88 | SS | 12.682
49, 56 | dz = 1.097 | diff = 25.89 | SS | 10.164
49, 106 | dz = 1.324 | sum = -52.98 | DD | 12.020
49, 112 | dz = 1.487 | sum = 47.83 | DD | 4.815
49, 127 | dz = 0.110 | diff = -12.10 | SS | 10.886
49, 131 | dz = 1.320 | sum = -195.37 | DD | 7.637
50, 88 | dz = 0.839 | sum = -59.85 | DD | 7.122
50, 136 | dz = 0.512 | sum = 19.95 | DS | 10.856
50, 148 | dz = 0.577 | sum = 48.63 | DD | 11.015
51, 63 | dz = 0.930 | sum = -58.02 | DD | 14.099
51, 64 | dz = 0.041 | diff = 17.33 | SS | 14.846
51, 78 | dz = 1.401 | sum = -197.17 | DD | 11.190
51, 132 | dz = 1.310 | sum = -54.50 | DD | 14.971
51, 140 | dz = 0.276 | sum = 129.04 | DS | 7.958
52, 129 | dz = 1.119 | sum = -199.10 | DD | 14.103
